,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
69,0,3,0,1.0,2,0,0.0,0
70,0,2,0,1.0,0,0,1.0,0
71,0,3,1,0.0,5,2,3.0,0
72,0,2,0,1.0,0,0,3.0,0
73,0,3,0,1.0,1,0,1.0,2
74,1,3,0,1.0,0,0,3.0,0
75,0,3,0,1.0,0,0,0.0,0
76,0,3,0,1.0,0,0,0.0,0
77,0,3,0,1.0,0,0,0.0,0
78,1,2,0,0.0,0,2,2.0,0
79,1,3,1,1.0,0,0,1.0,0
80,0,3,0,1.0,0,0,0.0,0
81,1,3,0,1.0,0,0,0.0,0
82,1,3,1,1.0,0,0,0.0,1
83,0,1,0,1.0,0,0,3.0,0
84,1,2,1,1.0,0,0,1.0,0
85,1,3,1,2.0,3,0,1.0,0
86,0,3,0,0.0,1,3,3.0,0
87,0,3,0,1.0,0,0,0.0,0
88,1,1,1,1.0,3,2,4.0,0
89,0,3,0,1.0,0,0,0.0,0
90,0,3,0,1.0,0,0,0.0,0
91,0,3,0,1.0,0,0,0.0,0
92,0,1,0,2.0,1,0,3.0,0
93,0,3,0,1.0,1,2,2.0,0
94,0,3,0,3.0,0,0,0.0,0
95,0,3,0,1.0,0,0,0.0,0
96,0,1,0,4.0,0,0,3.0,2
97,1,1,0,1.0,0,1,3.0,2
98,1,2,1,2.0,0,1,2.0,0
99,0,2,0,2.0,1,0,2.0,0
100,0,3,1,1.0,0,0,0.0,0
101,0,3,0,1.0,0,0,0.0,0
102,0,1,0,1.0,0,1,3.0,0
103,0,3,0,2.0,0,0,0.0,0
104,0,3,0,2.0,2,0,0.0,0
105,0,3,0,1.0,0,0,0.0,0
106,1,3,1,1.0,0,0,0.0,0
107,1,3,0,1.0,0,0,0.0,0
108,0,3,0,2.0,0,0,0.0,0
109,1,3,1,1.0,1,0,2.0,1
110,0,1,0,2.0,0,0,3.0,0
111,0,3,1,0.0,1,0,1.0,2
112,0,3,0,1.0,0,0,0.0,0
113,0,3,1,1.0,1,0,0.0,0
114,0,3,1,1.0,0,0,1.0,2
115,0,3,0,1.0,0,0,0.0,0
116,0,3,0,4.0,0,0,0.0,1
117,0,2,0,1.0,1,0,2.0,0
118,0,1,0,1.0,0,1,4.0,2
119,0,3,1,0.0,4,2,3.0,0
120,0,2,0,1.0,2,0,3.0,0
121,0,3,0,1.0,0,0,0.0,0
122,0,2,0,2.0,1,0,3.0,2
123,1,2,1,2.0,0,0,1.0,0
124,0,1,0,3.0,0,1,3.0,0
125,1,3,0,0.0,1,0,1.0,2
126,0,3,0,1.0,0,0,0.0,1
127,1,3,0,1.0,0,0,0.0,0
128,1,3,1,1.0,1,1,2.0,2
129,0,3,0,2.0,0,0,0.0,0
130,0,3,0,2.0,0,0,0.0,2
131,0,3,0,1.0,0,0,0.0,0
132,0,3,1,2.0,1,0,1.0,0
133,1,2,1,1.0,1,0,2.0,0
134,0,2,0,1.0,0,0,1.0,0
135,0,2,0,1.0,0,0,1.0,2
136,1,1,1,1.0,0,2,2.0,0
137,0,1,0,2.0,1,0,3.0,0
138,0,3,0,0.0,0,0,0.0,0
139,0,1,0,1.0,0,0,3.0,2
140,0,3,1,1.0,0,2,1.0,2
141,1,3,1,1.0,0,0,0.0,0
142,1,3,1,1.0,1,0,1.0,0
143,0,3,0,1.0,0,0,0.0,1
144,0,2,0,1.0,0,0,1.0,0
145,0,2,0,1.0,1,1,3.0,0
146,1,3,0,1.0,0,0,0.0,0
147,0,3,1,0.0,2,2,3.0,0
148,0,2,0,2.0,0,2,2.0,0
149,0,2,0,2.0,0,0,1.0,0
150,0,2,0,3.0,0,0,1.0,0
151,1,1,1,1.0,1,0,3.0,0
152,0,3,0,3.0,0,0,0.0,0
153,0,3,0,2.0,0,2,1.0,0
154,0,3,0,1.0,0,0,0.0,0
155,0,1,0,3.0,0,1,3.0,2
156,1,3,1,0.0,0,0,0.0,1
157,0,3,0,1.0,0,0,0.0,0
158,0,3,0,1.0,0,0,0.0,0
159,0,3,0,1.0,8,2,3.0,0
160,0,3,0,2.0,0,1,1.0,0
161,1,2,1,2.0,0,0,1.0,0
162,0,3,0,1.0,0,0,0.0,0
163,0,3,0,1.0,0,0,0.0,0
164,0,3,0,0.0,4,1,3.0,0
165,1,3,0,0.0,0,2,2.0,0
166,1,1,1,1.0,0,1,3.0,0
167,0,3,1,2.0,1,4,2.0,0
168,0,1,0,1.0,0,0,2.0,0
169,0,3,0,1.0,0,0,3.0,0
170,0,1,0,3.0,0,0,3.0,0
171,0,3,0,0.0,4,1,2.0,1
172,1,3,1,0.0,1,1,1.0,0
173,0,3,0,1.0,0,0,0.0,0
174,0,1,0,3.0,0,0,3.0,2
175,0,3,0,1.0,1,1,0.0,0
176,0,3,0,1.0,3,1,2.0,0
177,0,1,1,3.0,0,0,2.0,2
178,0,2,0,1.0,0,0,1.0,0
179,0,3,0,2.0,0,0,0.0,0
180,0,3,1,1.0,8,2,3.0,0
181,0,2,0,1.0,0,0,1.0,2
182,0,3,0,0.0,4,2,3.0,0
183,1,2,0,0.0,2,1,3.0,0
184,1,3,1,0.0,0,2,2.0,0
185,0,1,0,1.0,0,0,3.0,0
186,1,3,1,1.0,1,0,1.0,1
187,1,1,0,2.0,0,0,2.0,0
188,0,3,0,2.0,1,1,1.0,1
189,0,3,0,2.0,0,0,0.0,0
190,1,2,1,1.0,0,0,1.0,0
191,0,2,0,1.0,0,0,1.0,0
192,1,3,1,1.0,1,0,0.0,0
193,1,2,0,0.0,1,1,2.0,0
194,1,1,1,2.0,0,0,2.0,2
195,1,1,1,3.0,0,0,4.0,2
196,0,3,0,1.0,0,0,0.0,1
197,0,3,0,2.0,0,1,0.0,0
198,1,3,1,1.0,0,0,0.0,1
199,0,2,1,1.0,0,0,1.0,0
200,0,3,0,1.0,0,0,0.0,0
201,0,3,0,1.0,8,2,3.0,0
202,0,3,0,2.0,0,0,0.0,0
203,0,3,0,2.0,0,0,0.0,2
204,1,3,0,1.0,0,0,0.0,0
205,0,3,1,0.0,0,1,1.0,0
206,0,3,0,1.0,1,0,1.0,0
207,1,3,0,1.0,0,0,1.0,2
208,1,3,1,0.0,0,0,0.0,1
209,1,1,0,2.0,0,0,3.0,2
210,0,3,0,1.0,0,0,0.0,0
211,1,2,1,2.0,0,0,2.0,0
212,0,3,0,1.0,0,0,0.0,0
213,0,2,0,1.0,0,0,1.0,0
214,0,3,0,1.0,1,0,0.0,1
215,1,1,1,1.0,1,0,4.0,2
216,1,3,1,1.0,0,0,0.0,0
217,0,2,0,2.0,1,0,2.0,0
218,1,1,1,1.0,0,0,3.0,2
219,0,2,0,1.0,0,0,1.0,0
220,1,3,0,0.0,0,0,0.0,0
221,0,2,0,1.0,0,0,1.0,0
222,0,3,0,3.0,0,0,0.0,0
223,0,3,0,1.0,0,0,0.0,0
224,1,1,0,2.0,1,0,3.0,0
225,0,3,0,1.0,0,0,0.0,0
226,1,2,0,1.0,0,0,1.0,0
227,0,3,0,1.0,0,0,0.0,0
228,0,2,0,1.0,0,0,1.0,0
229,0,3,1,1.0,3,1,2.0,0
230,1,1,1,2.0,1,0,3.0,0
231,0,3,0,1.0,0,0,0.0,0
232,0,2,0,3.0,0,0,1.0,0
233,1,3,1,0.0,4,2,3.0,0
234,0,2,0,1.0,0,0,1.0,0
235,0,3,1,1.0,0,0,0.0,0
236,0,2,0,2.0,1,0,2.0,0
237,1,2,1,0.0,0,2,2.0,0
238,0,2,0,1.0,0,0,1.0,0
239,0,2,0,2.0,0,0,1.0,0
240,0,3,1,1.0,1,0,1.0,2
241,1,3,1,1.0,1,0,1.0,1
242,0,2,0,1.0,0,0,1.0,0
243,0,3,0,1.0,0,0,0.0,0
244,0,3,0,1.0,0,0,0.0,2
245,0,1,0,2.0,2,0,3.0,1
246,0,3,1,1.0,0,0,0.0,0
247,1,2,1,1.0,0,2,1.0,0
248,1,1,0,2.0,1,1,3.0,0
249,0,2,0,3.0,1,0,2.0,0
250,0,3,0,1.0,0,0,0.0,0
251,0,3,1,1.0,1,1,1.0,0
252,0,1,0,3.0,0,0,2.0,0
253,0,3,0,1.0,1,0,1.0,0
254,0,3,1,2.0,0,2,2.0,0
255,1,3,1,1.0,0,2,1.0,2
256,1,1,1,1.0,0,0,3.0,2
257,1,1,1,1.0,0,0,3.0,0
258,1,1,1,2.0,0,0,4.0,2
259,1,2,1,3.0,0,1,2.0,0
260,0,3,0,1.0,0,0,0.0,1
261,1,3,0,0.0,4,2,3.0,0
262,0,1,0,3.0,1,1,3.0,0
263,0,1,0,2.0,0,0,0.0,0
264,0,3,1,1.0,0,0,0.0,1
265,0,2,0,2.0,0,0,1.0,0
266,0,3,0,0.0,4,1,3.0,0
267,1,3,0,1.0,1,0,0.0,0
268,1,1,1,3.0,0,1,4.0,0
269,1,1,1,2.0,0,0,4.0,0
270,0,1,0,1.0,0,0,3.0,0
271,1,3,0,1.0,0,0,0.0,0
272,1,2,1,2.0,0,1,1.0,0
273,0,1,0,2.0,0,1,2.0,2
274,1,3,1,1.0,0,0,0.0,1
275,1,1,1,3.0,1,0,3.0,0
276,0,3,1,2.0,0,0,0.0,0
277,0,2,0,1.0,0,0,0.0,0
278,0,3,0,0.0,4,1,2.0,1
279,1,3,1,2.0,1,1,2.0,0
280,0,3,0,4.0,0,0,0.0,1
281,0,3,0,1.0,0,0,0.0,0
282,0,3,0,0.0,0,0,0.0,0
283,1,3,0,1.0,0,0,0.0,0
284,0,1,0,1.0,0,0,2.0,0
285,0,3,0,2.0,0,0,0.0,2
286,1,3,0,1.0,0,0,0.0,0
287,0,3,0,1.0,0,0,0.0,0
288,1,2,0,2.0,0,0,1.0,0
289,1,3,1,1.0,0,0,0.0,1
290,1,1,1,1.0,0,0,3.0,0
291,1,1,1,1.0,1,0,3.0,2
292,0,2,0,2.0,0,0,1.0,2
293,0,3,1,1.0,0,0,0.0,0
294,0,3,0,1.0,0,0,0.0,0
295,0,1,0,1.0,0,0,2.0,2
296,0,3,0,1.0,0,0,0.0,2
297,0,1,1,0.0,1,2,4.0,0
298,1,1,0,1.0,0,0,3.0,0
299,1,1,1,3.0,0,1,4.0,2
300,1,3,1,1.0,0,0,0.0,1
301,1,3,0,1.0,2,0,2.0,1
302,0,3,0,1.0,0,0,0.0,0
303,1,2,1,1.0,0,0,1.0,1
304,0,3,0,1.0,0,0,0.0,0
305,1,1,0,0.0,1,2,4.0,0
306,1,1,1,1.0,0,0,4.0,2
307,1,1,1,1.0,1,0,4.0,2
308,0,2,0,1.0,1,0,2.0,2
309,1,1,1,1.0,0,0,3.0,2
310,1,1,1,1.0,0,0,3.0,2
311,1,1,1,1.0,2,2,4.0,2
312,0,2,1,1.0,1,1,2.0,0
313,0,3,0,1.0,0,0,0.0,0
314,0,2,0,2.0,1,1,2.0,0
315,1,3,1,1.0,0,0,0.0,0
316,1,2,1,1.0,1,0,2.0,0
317,0,2,0,3.0,0,0,1.0,0
318,1,1,1,1.0,0,2,4.0,0
319,1,1,1,2.0,1,1,4.0,2
320,0,3,0,1.0,0,0,0.0,0
321,0,3,0,1.0,0,0,0.0,0
322,1,2,1,1.0,0,0,1.0,1
323,1,2,1,1.0,1,1,2.0,0
324,0,3,0,1.0,8,2,3.0,0
325,1,1,1,2.0,0,0,4.0,2
326,0,3,0,3.0,0,0,0.0,0
327,1,2,1,2.0,0,0,1.0,0
328,1,3,1,1.0,1,1,2.0,0
329,1,1,1,0.0,0,1,3.0,2
330,1,3,1,1.0,2,0,2.0,1
331,0,1,0,2.0,0,0,2.0,0
332,0,1,0,2.0,0,1,4.0,0
333,0,3,0,0.0,2,0,1.0,0
334,1,1,1,1.0,1,0,4.0,0
335,0,3,0,1.0,0,0,0.0,0
336,0,1,0,1.0,1,0,3.0,0
337,1,1,1,2.0,0,0,4.0,2
338,1,3,0,2.0,0,0,0.0,0
339,0,1,0,2.0,0,0,3.0,0
340,1,2,0,0.0,1,1,2.0,0
341,1,1,1,1.0,3,2,4.0,0
342,0,2,0,1.0,0,0,1.0,0
343,0,2,0,1.0,0,0,1.0,0
344,0,2,0,2.0,0,0,1.0,0
345,1,2,1,1.0,0,0,1.0,0
346,1,2,1,2.0,0,0,1.0,0
347,1,3,1,1.0,1,0,1.0,0
348,1,3,0,0.0,1,1,1.0,0
349,0,3,0,2.0,0,0,0.0,0
350,0,3,0,1.0,0,0,0.0,0
351,0,1,0,1.0,0,0,3.0,0
352,0,3,0,0.0,1,1,0.0,2
353,0,3,0,1.0,1,0,1.0,0
354,0,3,0,1.0,0,0,0.0,2
355,0,3,0,1.0,0,0,0.0,0
356,1,1,1,1.0,0,1,3.0,0
357,0,2,1,2.0,0,0,1.0,0
358,1,3,1,1.0,0,0,0.0,1
359,1,3,1,1.0,0,0,0.0,1
360,0,3,0,2.0,1,4,2.0,0
361,0,2,0,1.0,1,0,2.0,2
362,0,3,1,2.0,0,1,1.0,2
363,0,3,0,2.0,0,0,0.0,0
364,0,3,0,1.0,1,0,1.0,1
365,0,3,0,1.0,0,0,0.0,0
366,1,1,1,3.0,1,0,3.0,2
367,1,3,1,1.0,0,0,0.0,2
368,1,3,1,1.0,0,0,0.0,1
369,1,1,1,1.0,0,0,3.0,2
370,1,1,0,1.0,1,0,3.0,2
371,0,3,0,1.0,1,0,0.0,0
372,0,3,0,1.0,0,0,0.0,0
373,0,1,0,1.0,0,0,4.0,2
374,0,3,1,0.0,3,1,2.0,0
375,1,1,1,1.0,1,0,3.0,2
376,1,3,1,1.0,0,0,0.0,0
377,0,1,0,1.0,0,2,4.0,2
378,0,3,0,1.0,0,0,0.0,2
379,0,3,0,1.0,0,0,0.0,0
380,1,1,1,2.0,0,0,4.0,2
381,1,3,1,0.0,0,2,1.0,2
382,0,3,0,1.0,0,0,0.0,0
383,1,1,1,2.0,1,0,3.0,0
384,0,3,0,1.0,0,0,0.0,0
385,0,2,0,1.0,0,0,3.0,0
386,0,3,0,0.0,5,2,3.0,0
387,1,2,1,2.0,0,0,1.0,0
388,0,3,0,1.0,0,0,0.0,1
389,1,2,1,1.0,0,0,1.0,2
390,1,1,0,2.0,1,2,4.0,0
391,1,3,0,1.0,0,0,0.0,0
392,0,3,0,1.0,2,0,0.0,0
393,1,1,1,1.0,1,0,4.0,2
394,1,3,1,1.0,0,2,1.0,0
395,0,3,0,1.0,0,0,0.0,0
396,0,3,1,1.0,0,0,0.0,0
397,0,2,0,2.0,0,0,2.0,0
398,0,2,0,1.0,0,0,1.0,0
399,1,2,1,1.0,0,0,1.0,0
400,1,3,0,2.0,0,0,0.0,0
401,0,3,0,1.0,0,0,0.0,0
402,0,3,1,1.0,1,0,0.0,0
403,0,3,0,1.0,1,0,1.0,0
404,0,3,1,1.0,0,0,0.0,0
405,0,2,0,2.0,1,0,2.0,0
406,0,3,0,3.0,0,0,0.0,0
407,1,2,0,0.0,1,1,1.0,0
408,0,3,0,1.0,0,0,0.0,0
409,0,3,1,1.0,3,1,2.0,0
410,0,3,0,1.0,0,0,0.0,0
411,0,3,0,1.0,0,0,0.0,1
412,1,1,1,2.0,1,0,3.0,1
413,0,2,0,1.0,0,0,0.0,0
414,1,3,0,2.0,0,0,0.0,0
415,0,3,1,1.0,0,0,0.0,0
416,1,2,1,2.0,1,1,3.0,0
417,1,2,1,1.0,0,2,1.0,0
418,0,2,0,1.0,0,0,1.0,0
419,0,3,1,0.0,0,2,2.0,0
420,0,3,0,1.0,0,0,0.0,2
421,0,3,0,1.0,0,0,0.0,1
422,0,3,0,1.0,0,0,0.0,0
423,0,3,1,1.0,1,1,1.0,0
424,0,3,0,1.0,1,1,2.0,0
425,0,3,0,1.0,0,0,0.0,0
426,1,2,1,1.0,1,0,2.0,0
427,1,2,1,1.0,0,0,2.0,0
428,0,3,0,1.0,0,0,0.0,1
429,1,3,0,1.0,0,0,0.0,0
430,1,1,0,1.0,0,0,2.0,0
431,1,3,1,1.0,1,0,1.0,0
432,1,2,1,2.0,1,0,2.0,0
433,0,3,0,1.0,0,0,0.0,0
434,0,1,0,3.0,1,0,3.0,0
435,1,1,1,0.0,1,2,4.0,0
436,0,3,1,1.0,2,2,3.0,0
437,1,2,1,1.0,2,3,1.0,0
438,0,1,0,3.0,1,4,4.0,0
439,0,2,0,1.0,0,0,1.0,0
440,1,2,1,2.0,1,1,2.0,0
441,0,3,0,1.0,0,0,0.0,0
442,0,3,0,1.0,1,0,0.0,0
443,1,2,1,1.0,0,0,1.0,0
444,1,3,0,1.0,0,0,0.0,0
445,1,1,0,0.0,0,2,3.0,0
446,1,2,1,0.0,0,1,1.0,0
447,1,1,0,2.0,0,0,2.0,0
448,1,3,1,0.0,2,1,1.0,2
449,1,1,0,3.0,0,0,3.0,0
450,0,2,0,2.0,1,2,2.0,0
451,0,3,0,1.0,1,0,1.0,0
452,0,1,0,1.0,0,0,2.0,2
453,1,1,0,3.0,1,0,3.0,2
454,0,3,0,1.0,0,0,0.0,0
455,1,3,0,1.0,0,0,0.0,2
456,0,1,0,4.0,0,0,2.0,0
457,1,1,1,1.0,1,0,3.0,0
458,1,2,1,3.0,0,0,1.0,0
459,0,3,0,1.0,0,0,0.0,1
460,1,1,0,2.0,0,0,2.0,0
461,0,3,0,2.0,0,0,0.0,0
462,0,1,0,2.0,0,0,3.0,0
463,0,2,0,2.0,0,0,1.0,0
464,0,3,0,1.0,0,0,0.0,0
465,0,3,0,2.0,0,0,0.0,0
466,0,2,0,1.0,0,0,0.0,0
467,0,1,0,3.0,0,0,2.0,0
468,0,3,0,1.0,0,0,0.0,1
469,1,3,1,0.0,2,1,1.0,2
470,0,3,0,1.0,0,0,0.0,0
471,0,3,0,2.0,0,0,0.0,0
472,1,2,1,2.0,1,2,2.0,0
473,1,2,1,1.0,0,0,1.0,2
474,0,3,1,1.0,0,0,0.0,0
475,0,1,0,1.0,0,0,3.0,0
476,0,2,0,2.0,1,0,2.0,0
477,0,3,0,1.0,1,0,0.0,0
478,0,3,0,1.0,0,0,0.0,0
479,1,3,1,0.0,0,1,1.0,0
480,0,3,0,0.0,5,2,3.0,0
481,0,2,0,1.0,0,0,0.0,0
482,0,3,0,3.0,0,0,0.0,0
483,1,3,1,3.0,0,0,0.0,0
484,1,1,0,1.0,1,0,3.0,2
485,0,3,1,1.0,3,1,2.0,0
486,1,1,1,2.0,1,0,3.0,0
487,0,1,0,3.0,0,0,2.0,2
488,0,3,0,1.0,0,0,0.0,0
489,1,3,0,0.0,1,1,1.0,0
490,0,3,0,1.0,1,0,1.0,0
491,0,3,0,1.0,0,0,0.0,0
492,0,1,0,3.0,0,0,3.0,0
493,0,1,0,4.0,0,0,3.0,2
494,0,3,0,1.0,0,0,0.0,0
495,0,3,0,1.0,0,0,1.0,2
496,1,1,1,3.0,1,0,3.0,2
497,0,3,0,1.0,0,0,1.0,0
498,0,1,1,1.0,1,2,4.0,0
499,0,3,0,1.0,0,0,0.0,0
500,0,3,0,1.0,0,0,0.0,0
501,0,3,1,1.0,0,0,0.0,1
502,0,3,1,1.0,0,0,0.0,1
503,0,3,1,2.0,0,0,0.0,0
504,1,1,1,0.0,0,0,3.0,0
505,0,1,0,1.0,1,0,4.0,2
506,1,2,1,2.0,0,2,2.0,0
507,1,1,0,1.0,0,0,2.0,0
508,0,3,0,1.0,0,0,2.0,0
509,1,3,0,1.0,0,0,3.0,0
510,1,3,0,1.0,0,0,0.0,1
511,0,3,0,1.0,0,0,0.0,0
512,1,1,0,2.0,0,0,2.0,0
513,1,1,1,3.0,1,0,3.0,2
514,0,3,0,1.0,0,0,0.0,0
515,0,1,0,2.0,0,0,3.0,0
516,1,2,1,2.0,0,0,1.0,0
517,0,3,0,1.0,0,0,2.0,1
518,1,2,1,2.0,1,0,2.0,0
519,0,3,0,1.0,0,0,0.0,0
520,1,1,1,1.0,0,0,3.0,0
521,0,3,0,1.0,0,0,0.0,0
522,0,3,0,1.0,0,0,0.0,2
523,1,1,1,2.0,0,1,3.0,2
524,0,3,0,1.0,0,0,0.0,2
525,0,3,0,2.0,0,0,0.0,1
526,1,2,1,3.0,0,0,1.0,0
527,0,1,0,1.0,0,0,4.0,0
528,0,3,0,2.0,0,0,0.0,0
529,0,2,0,1.0,2,1,1.0,0
530,1,2,1,0.0,1,1,2.0,0
531,0,3,0,1.0,0,0,0.0,2
532,0,3,0,1.0,1,1,0.0,2
533,1,3,1,1.0,0,2,2.0,2
534,0,3,1,1.0,0,0,0.0,0
535,1,2,1,0.0,0,2,2.0,0
536,0,1,0,2.0,0,0,2.0,0
537,1,1,1,1.0,0,0,4.0,2
538,0,3,0,1.0,0,0,1.0,0
539,1,1,1,1.0,0,2,3.0,2
540,1,1,1,2.0,0,2,3.0,0
541,0,3,1,0.0,4,2,3.0,0
542,0,3,1,0.0,4,2,3.0,0
543,1,2,0,1.0,1,0,2.0,0
544,0,1,0,3.0,1,0,4.0,2
545,0,1,0,3.0,0,0,2.0,0
546,1,2,1,1.0,1,0,2.0,0
547,1,2,0,1.0,0,0,1.0,2
548,0,3,0,2.0,1,1,2.0,0
549,1,2,0,0.0,1,1,3.0,0
550,1,1,0,1.0,0,2,4.0,2
551,0,2,0,1.0,0,0,2.0,0
552,0,3,0,1.0,0,0,0.0,1
553,1,3,0,1.0,0,0,0.0,2
554,1,3,1,1.0,0,0,0.0,0
555,0,1,0,3.0,0,0,2.0,0
556,1,1,1,2.0,1,0,3.0,2
557,0,1,0,1.0,0,0,4.0,2
558,1,1,1,2.0,1,1,3.0,0
559,1,3,1,2.0,1,0,1.0,0
560,0,3,0,1.0,0,0,0.0,1
561,0,3,0,2.0,0,0,0.0,0
562,0,2,0,1.0,0,0,1.0,0
563,0,3,0,1.0,0,0,0.0,0
564,0,3,1,1.0,0,0,0.0,0
565,0,3,0,1.0,2,0,2.0,0
566,0,3,0,1.0,0,0,0.0,0
567,0,3,1,1.0,0,4,2.0,0
568,0,3,0,1.0,0,0,0.0,2
569,1,3,0,1.0,0,0,0.0,0
570,1,2,0,3.0,0,0,1.0,0
571,1,1,1,3.0,2,0,3.0,0
572,1,1,0,2.0,0,0,2.0,0
573,1,3,1,1.0,0,0,0.0,1
574,0,3,0,0.0,0,0,0.0,0
575,0,3,0,1.0,0,0,1.0,0
576,1,2,1,2.0,0,0,1.0,0
577,1,1,1,2.0,1,0,3.0,0
578,0,3,1,1.0,1,0,1.0,2
579,1,3,0,1.0,0,0,0.0,0
580,1,2,1,1.0,1,1,2.0,0
581,1,1,1,2.0,1,1,4.0,2
582,0,2,0,3.0,0,0,2.0,0
583,0,1,0,2.0,0,0,3.0,2
584,0,3,0,1.0,0,0,0.0,2
585,1,1,1,1.0,0,2,3.0,0
586,0,2,0,2.0,0,0,1.0,0
587,1,1,0,3.0,1,1,3.0,2
588,0,3,0,1.0,0,0,0.0,0
589,0,3,0,1.0,0,0,0.0,0
590,0,3,0,2.0,0,0,0.0,0
591,1,1,1,3.0,1,0,3.0,2
592,0,3,0,2.0,0,0,0.0,0
593,0,3,1,1.0,0,2,0.0,1
594,0,2,0,2.0,1,0,2.0,0
595,0,3,0,2.0,1,1,2.0,0
596,1,2,1,1.0,0,0,3.0,0
597,0,3,0,3.0,0,0,0.0,0
598,0,3,0,1.0,0,0,0.0,2
599,1,1,0,3.0,1,0,3.0,2
600,1,2,1,1.0,2,1,2.0,0
601,0,3,0,1.0,0,0,0.0,0
602,0,1,0,1.0,0,0,3.0,0
603,0,3,0,2.0,0,0,0.0,0
604,1,1,0,2.0,0,0,2.0,2
605,0,3,0,2.0,1,0,1.0,0
606,0,3,0,1.0,0,0,0.0,0
607,1,1,0,1.0,0,0,3.0,0
608,1,2,1,1.0,1,2,3.0,2
609,1,1,1,2.0,0,0,4.0,0
610,0,3,1,2.0,1,5,3.0,0
611,0,3,0,1.0,0,0,0.0,0
612,1,3,1,1.0,1,0,1.0,1
613,0,3,0,1.0,0,0,0.0,1
614,0,3,0,2.0,0,0,0.0,0
615,1,2,1,1.0,1,2,3.0,0
616,0,3,0,2.0,1,1,1.0,0
617,0,3,1,1.0,1,0,1.0,0
618,1,2,1,0.0,2,1,3.0,0
619,0,2,0,1.0,0,0,1.0,0
620,0,3,0,1.0,1,0,1.0,2
621,1,1,0,2.0,1,0,3.0,0
622,1,3,0,1.0,1,1,1.0,2
623,0,3,0,1.0,0,0,0.0,0
624,0,3,0,1.0,0,0,1.0,0
625,0,1,0,3.0,0,0,3.0,0
626,0,2,0,3.0,0,0,1.0,1
627,1,1,1,1.0,0,0,3.0,0
628,0,3,0,1.0,0,0,0.0,0
629,0,3,0,1.0,0,0,0.0,1
630,1,1,0,4.0,0,0,2.0,0
631,0,3,0,3.0,0,0,0.0,0
632,1,1,0,1.0,0,0,3.0,2
